Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
St Pancras International,Paris Nord ,Eurostar,9004,10-03-2023,10:23:00,10:23:00,0,,"['St Pancras International', 'Paris Nord']"
Amsterdam Centraal,Paris Nord ,Thalys,9316,10-03-2023,10:38:00,10:38:00,0,,"['Amsterdam Centraal', 'Schiphol - Airport', 'Rotterdam Centraal', 'Antwerpen-Centraal', 'Bruxelles-Midi - Brussel-Zuid', 'Paris Nord']"
St Pancras International,Paris Nord ,Eurostar,9008,10-03-2023,11:32:00,11:32:00,0,,"['St Pancras International', 'Paris Nord']"
Bruxelles-Midi - Brussel-Zuid,Paris Nord ,Thalys,9322,10-03-2023,11:35:00,11:35:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Paris Nord']"
Beauvais - Gare SNCF,Paris Nord ,TER HDF,847426,10-03-2023,11:57:00,11:57:00,0,,"['Beauvais - Gare SNCF', 'Saint-Sulpice - Auteuil', 'Laboissière - Le Déluge', 'Méru', 'Esches', 'Bornel - Belle-Église', 'Chambly', 'Persan - Beaumont', 'Paris Nord']"
Dortmund Hbf,Paris Nord ,Thalys,9424,10-03-2023,12:05:00,12:05:00,0,,"['Dortmund Hbf', 'Essen Hbf', 'Düsseldorf - Hauptbahnhof', 'Köln - Hauptbahnhof', 'Aachen Hauptbahnhof', 'Liège-Guillemins', 'Bruxelles-Midi - Brussel-Zuid', 'Paris Nord']"
Boulogne-Ville,Paris Nord ,TGV INOUI,7516,10-03-2023,12:08:00,12:08:00,0,,"['Boulogne-Ville', 'Calais - Fréthun', 'Lille Europe', 'Arras', 'Paris Nord']"
St Pancras International,Paris Nord ,Eurostar,9014,10-03-2023,12:23:00,12:23:00,0,,"['St Pancras International', 'Paris Nord']"
Compiègne,Paris Nord ,TER HDF,847818,10-03-2023,13:20:00,13:20:00,0,,"['Compiègne', 'Le Meux - La-Croix-Saint-Ouen', 'Longueil-Sainte-Marie', 'Chevrières', 'Pont-Sainte-Maxence', 'Rieux - Angicourt', 'Villers-Saint-Paul', 'Creil', 'Chantilly - Gouvieux', 'Orry-la-Ville - Coye', 'Paris Nord']"
St Pancras International,Paris Nord ,Eurostar,9018,10-03-2023,13:50:00,13:50:00,0,,"['St Pancras International', 'Paris Nord']"
Beauvais - Gare SNCF,Paris Nord ,TER HDF,847430,10-03-2023,13:57:00,13:57:00,0,,"['Beauvais - Gare SNCF', 'Saint-Sulpice - Auteuil', 'Laboissière - Le Déluge', 'Méru', 'Esches', 'Bornel - Belle-Église', 'Chambly', 'Persan - Beaumont', 'Paris Nord']"
Laon,Paris Nord ,TER HDF,849928,10-03-2023,14:13:00,14:13:00,0,,"['Laon', 'Anizy - Pinon', 'Soissons', 'Villers-Cotterêts', 'Crépy-en-Valois', 'Dammartin - Juilly - Saint-Mard', 'Paris Nord']"
Lille Flandres,Paris Nord ,TGV INOUI,7038,10-03-2023,14:14:00,14:14:00,0,,"['Lille Flandres', 'Paris Nord']"
Boulogne-Ville,Paris Nord ,TGV INOUI,7520,10-03-2023,14:32:00,14:32:00,0,,"['Boulogne-Ville', 'Calais - Fréthun', 'Lille Europe', 'Douai', 'Arras', 'Paris Nord']"
