Jour,Gare (départ),Gare (arrivée),Arrivée (réelle),Arrivée (prévue),Départ (prévu),Retard (min),Cause
08-03-2023,Montpellier Saint-Roch,Valence TGV Rhône-Alpes Sud,07:54:00,07:04:00,05:50:00,50,Mise à quai tardive en gare origine
08-03-2023,Maubeuge,Charleroi-Central,20:53:00,20:48:00,19:53:00,5,Incident sur un réseau ferré étranger
08-03-2023,Strasbourg,Bâle - SBB,21:13:00,21:08:00,19:51:00,5,Régulation du trafic
08-03-2023,Givet,Charleville-Mézières,19:00:00,18:25:00,17:20:00,35,Réutilisation d'un train
08-03-2023,Orléans,Tours,18:27:00,18:22:00,17:00:00,5,Présence d'individus sur les voies
08-03-2023,Creil,Beauvais - Gare SNCF,20:59:30,20:24:30,19:48:00,35,Prise en charge de clients en correspondance
09-03-2023,Menton,Nice,09:42:00,09:27:00,08:51:00,15,Réutilisation d'un train
07-03-2023,Sedan Place Calonne,La Ferté-sur-Chiers,08:45:00,08:30:00,07:31:00,15,Embouteillage
08-03-2023,Lyon Gorge de Loup,Lozanne,08:37:00,08:32:00,07:50:00,5,Embouteillage
08-03-2023,Lille Flandres,Paris Nord,14:19:00,14:14:00,13:12:00,5,Régulation du trafic
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lausanne,12:07:00,11:52:00,07:53:00,15,Assistance à un voyageur malade à bord
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache,09:55:00,09:10:00,06:54:00,45,Travaux sur les voies
08-03-2023,Avignon Centre,Marseille - Saint-Charles,07:12:00,07:07:00,05:50:00,5,Difficultés lors de la préparation du train
07-03-2023,Lille Flandres,Béthune,07:52:30,07:42:30,07:06:00,10,Saturation des voies en gare
08-03-2023,Maubeuge,Charleroi-Central,18:58:00,18:48:00,17:43:00,10,Retard non expliqué
08-03-2023,Remiremont,Bussang,14:00:00,13:55:00,13:00:00,5,Embouteillage
07-03-2023,Igney Centre,Sarrebourg,18:41:00,18:36:00,17:57:00,5,Embouteillage
09-03-2023,Valenciennes,Cambrai,07:41:00,07:36:00,06:53:00,5,Régulation du trafic
09-03-2023,Laon,Paris Nord,08:48:00,08:08:00,06:36:00,40,Obstacle sur la voie
08-03-2023,Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2,14:46:30,14:41:30,12:20:00,5,Retard non expliqué
08-03-2023,Lausanne,Paris - Gare de Lyon - Hall 1 & 2,16:13:00,16:08:00,12:23:00,5,Retard non expliqué
07-03-2023,Lille Flandres,Calais Ville,09:38:00,09:28:00,08:13:00,10,Mise à quai tardive en gare origine
08-03-2023,Troyes,Saint-Florentin - Vergigny,19:03:00,18:58:00,17:10:00,5,Embouteillage
09-03-2023,Saint-Nazaire,Nantes,11:02:00,10:52:00,10:15:00,10,Réutilisation d'un train
08-03-2023,Lille Flandres,Paris Nord,14:19:00,14:14:00,13:12:00,5,Régulation du trafic
08-03-2023,Maubeuge,Charleroi-Central,18:58:00,18:48:00,17:43:00,10,Retard non expliqué
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lausanne,12:07:00,11:52:00,07:53:00,15,Assistance à un voyageur malade à bord
07-03-2023,Lille Flandres,Béthune,07:52:30,07:42:30,07:06:00,10,Saturation des voies en gare
08-03-2023,Montpellier Saint-Roch,Valence TGV Rhône-Alpes Sud,07:54:00,07:04:00,05:50:00,50,Mise à quai tardive en gare origine
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Marseille - Saint-Charles,14:31:00,13:56:00,10:34:00,35,Réutilisation d'un train
08-03-2023,Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2,14:46:30,14:41:30,12:20:00,5,Retard non expliqué
09-03-2023,Valenciennes,Cambrai,07:41:00,07:36:00,06:53:00,5,Régulation du trafic
08-03-2023,Creil,Beauvais - Gare SNCF,20:59:30,20:24:30,19:48:00,35,Prise en charge de clients en correspondance
08-03-2023,Tournai,Lille Flandres,20:02:00,19:52:00,19:23:00,10,Incident sur un réseau ferré étranger
07-03-2023,Paris Saint-Lazare,Caen,20:27:30,20:22:30,18:08:00,5,Présence d'individus sur les voies
08-03-2023,Metz Ville,Luxembourg (CFL),20:07:00,19:22:00,18:31:00,45,Prise en charge de clients en correspondance
08-03-2023,La Bresse - Place du Champtel,Remiremont,17:55:00,17:50:00,16:47:00,5,Embouteillage
07-03-2023,Toulouse Matabiau,Narbonne,16:59:00,16:54:00,13:17:00,5,Embouteillage
07-03-2023,Lyon Part Dieu,Saint-Étienne Châteaucreux,17:15:00,17:10:00,16:24:00,5,Réutilisation d'un train
08-03-2023,Albertville,Moûtiers - Salins - Brides-les-Bains,08:45:00,08:35:00,07:50:00,10,Embouteillage
08-03-2023,Cavaillon,Avignon Centre,10:55:00,10:50:00,09:30:00,5,Embouteillage
07-03-2023,Paris Austerlitz,Rodez,08:30:00,08:20:00,22:15:00,10,Embouteillage
07-03-2023,Saint-Etienne-Châteaucreux Gare Routière,Boën,23:24:00,23:19:00,21:57:00,5,Embouteillage
08-03-2023,Bordeaux Saint-Jean,Mont-de-Marsan,12:19:30,12:14:30,10:45:00,5,Mise à quai tardive en gare origine
07-03-2023,Dijon Ville,Besançon-Viotte,11:22:00,11:07:00,10:12:00,15,Conditions de départ non réunies
07-03-2023,Laon,Amiens,07:43:00,07:33:00,06:03:00,10,Régulation du trafic
09-03-2023,Saint-Quentin,Lille Flandres,08:42:00,08:37:00,06:50:00,5,Régulation du trafic
08-03-2023,Chambéry - Challes-les-Eaux,Bourg-Saint-Maurice,15:06:00,14:51:00,12:51:00,15,Embouteillage
07-03-2023,Saint-André-le-Gaz,Lyon Perrache,09:06:00,09:01:00,08:06:00,5,Conditions de départ non réunies
07-03-2023,Compiègne,Paris Nord,13:56:00,13:26:00,12:06:00,30,Conditions de départ non réunies
08-03-2023,Creil,Beauvais - Gare SNCF,18:13:00,18:03:00,17:16:00,10,Prise en charge de clients en correspondance
08-03-2023,Lyon Part Dieu,Annecy,10:12:00,10:07:00,08:08:00,5,Régulation du trafic
08-03-2023,Saint-Malo,La Gouesnière - Cancale - Saint-Méloir-des-Ondes,16:10:30,16:05:30,16:00:00,5,Présence d'animaux sur la voie
08-03-2023,Paris Nord,Beauvais - Gare SNCF,17:25:00,17:20:00,16:07:00,5,Régulation du trafic
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Zürich - Hauptbahnhof,11:46:00,11:26:00,07:15:00,20,Travaux sur les voies
08-03-2023,Lille Flandres,Hazebrouck,10:24:00,10:09:00,09:23:00,15,Réutilisation d'un train
09-03-2023,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,07:47:30,07:32:30,06:07:00,15,Difficultés lors de la préparation du train
08-03-2023,Paris Nord,Saint-Quentin,20:28:00,20:13:00,18:34:00,15,Présence d'individus sur les voies
08-03-2023,Saumur,Nantes,07:51:00,07:46:00,06:22:00,5,Travaux sur les voies
08-03-2023,Tournai,Lille Flandres,09:57:00,09:52:00,09:22:00,5,Incident sur un réseau ferré étranger
07-03-2023,Clermont-Ferrand,Thiers,11:45:00,11:40:00,10:25:00,5,Embouteillage
08-03-2023,Bordeaux Saint-Jean,Marseille - Saint-Charles,18:40:00,18:35:00,12:28:00,5,Présence de manifestants sur les voies
09-03-2023,Dole-Ville,Lons-le-Saunier,11:25:00,11:15:00,10:15:00,10,Prise en charge de clients en correspondance
09-03-2023,Arcachon,Bordeaux Saint-Jean,10:40:00,10:25:00,09:35:00,15,Réutilisation d'un train
07-03-2023,Troyes,Romilly-sur-Seine,07:15:00,07:10:00,05:50:00,5,Embouteillage
07-03-2023,La Tour-du-Pin,Chambéry - Challes-les-Eaux,12:31:00,12:26:00,11:00:00,5,Embouteillage
07-03-2023,Saint-Mariens - Saint-Yzan,Bordeaux Saint-Jean,12:02:00,11:52:00,11:07:00,10,Réutilisation d'un train
07-03-2023,Igney Centre,Sarrebourg,13:41:00,13:36:00,12:57:00,5,Embouteillage
09-03-2023,Paris Nord,Boulogne-Ville,09:25:30,09:15:30,06:52:00,10,Travaux sur les voies
07-03-2023,Marignier,Saint-Gervais-les-Bains - Le Fayet,08:00:00,07:55:00,06:50:00,5,Embouteillage
08-03-2023,Lille Flandres,Amiens,09:15:00,09:10:00,07:53:00,5,Réutilisation d'un train
08-03-2023,Lille Flandres,Béthune,20:17:30,20:12:30,19:15:00,5,Régulation du trafic
08-03-2023,Courtrai,Lille Flandres,16:16:00,15:51:00,15:13:00,25,Obstacle sur la voie
08-03-2023,Saint-André-le-Gaz,Lyon Perrache,09:06:00,09:01:00,08:06:00,5,Réutilisation d'un train
08-03-2023,Châlons-en-Champagne,Verdun,20:23:00,20:18:00,18:30:00,5,Embouteillage
08-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lausanne,12:22:00,11:52:00,07:53:00,30,Conditions de départ non réunies
08-03-2023,Troyes,Romilly-sur-Seine,08:38:00,08:28:00,07:08:00,10,Embouteillage
09-03-2023,Lille Flandres,Tournai,13:57:00,12:37:00,12:08:00,80,Conditions de départ non réunies
07-03-2023,Lille Flandres,Hazebrouck,08:14:00,08:09:00,07:23:00,5,Régulation du trafic
07-03-2023,Saint-Florentin - Vergigny,Troyes,21:14:00,21:09:00,20:08:00,5,Embouteillage
07-03-2023,Marseille - Saint-Charles,Toulon,14:58:00,14:38:00,13:31:00,20,Réutilisation d'un train
08-03-2023,Saint-Dié-des-Vosges,Sélestat,17:12:00,17:02:00,15:54:00,10,Embouteillage
09-03-2023,Chambéry - Challes-les-Eaux,Bourg-Saint-Maurice,14:56:00,14:51:00,12:51:00,5,Embouteillage
09-03-2023,Coppet,Annecy,09:21:00,09:16:00,07:19:00,5,Incident sur un réseau ferré étranger
07-03-2023,Tournai,Lille Flandres,17:57:00,17:52:00,17:23:00,5,Retard non expliqué
08-03-2023,Lille Flandres,Calais Ville,18:33:00,18:28:00,17:13:00,5,Difficultés lors de la préparation du train
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Besançon-Viotte,20:37:00,19:27:00,16:43:00,70,Travaux sur les voies
08-03-2023,Besançon-Viotte,Morteau,22:32:00,22:27:00,20:47:00,5,Embouteillage
08-03-2023,Lille Flandres,Tournai,18:46:00,18:36:00,18:08:00,10,Réutilisation d'un train
09-03-2023,Le Mans,Laval,09:31:00,09:11:00,08:20:00,20,Heurt d'un animal
08-03-2023,Saint-Dié-des-Vosges,Bruyères,18:22:00,18:17:00,17:24:00,5,Embouteillage
07-03-2023,Marseille - Saint-Charles,Marseille Blancarde,08:16:30,08:06:30,08:02:00,10,Conditions de départ non réunies
07-03-2023,Marseille - Saint-Charles,Avignon Centre,09:13:00,09:08:00,07:41:00,5,Prise en charge de clients en correspondance
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache,14:46:00,14:36:00,12:23:00,10,Incident de circulation
07-03-2023,Saint-Étienne Châteaucreux,Lyon Part Dieu,07:41:00,07:36:00,06:50:00,5,Difficultés lors de la préparation du train
07-03-2023,Courtrai,Lille Flandres,17:56:00,17:51:00,17:13:00,5,Incident sur un réseau ferré étranger
07-03-2023,Lyon - Saint-Paul,L'Arbresle,17:09:00,17:04:00,16:27:00,5,Défaillance de matériel
07-03-2023,Courtrai,Lille Flandres,16:56:00,16:51:00,16:06:00,5,Retard non expliqué
08-03-2023,Châlons-en-Champagne,Château-Thierry,14:59:00,14:49:00,13:04:00,10,Embouteillage
08-03-2023,Montauban Ville Bourbon,Toulouse Matabiau,09:37:00,09:32:00,08:47:00,5,Réutilisation d'un train
08-03-2023,Compiègne,Paris Nord,20:13:00,19:23:00,18:10:00,50,Présence d'individus sur les voies
08-03-2023,Wissembourg,Neustadt Weinstr Hbf,09:29:00,09:24:00,08:32:00,5,Incident sur un réseau ferré étranger
08-03-2023,Sain-Bel,Lyon - Saint-Paul,07:51:00,07:46:00,07:04:00,5,Réutilisation d'un train
08-03-2023,Nantes,Paris - Montparnasse - Hall 1 & 2,09:22:30,09:12:30,07:05:00,10,Prise en charge de clients en correspondance
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache,10:06:00,09:36:00,07:19:00,30,Travaux sur les voies
08-03-2023,Lille Flandres,Courtrai,17:00:00,16:45:00,16:09:00,15,Obstacle sur la voie
08-03-2023,Amiens,Paris Nord,19:36:00,18:56:00,17:38:00,40,Présence d'individus sur les voies
08-03-2023,Charleville-Mézières,Givet,17:52:00,16:32:00,15:35:00,80,Conditions de départ non réunies
08-03-2023,Paris Est,Mannheim - Hauptbahnhof,10:38:00,10:18:00,07:20:00,20,Difficultés lors de la préparation du train
09-03-2023,Bordeaux Saint-Jean,Mont-de-Marsan,12:19:30,12:14:30,10:45:00,5,Défaillance de matériel
