Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Rennes,Bruxelles-Midi - Brussel-Zuid ,TGV INOUI,9884,07-03-2023,09:16:30,09:16:30,0,,"['TGV Haute Picardie', 'Lille Europe', 'Bruxelles-Midi - Brussel-Zuid']"
Marseille - Saint-Charles,Bruxelles-Midi - Brussel-Zuid ,TGV INOUI,9854,07-03-2023,10:38:00,10:38:00,0,,"['Lille Europe', 'Bruxelles-Midi - Brussel-Zuid']"
Annecy,Annemasse ,LEX,49540,07-03-2023,05:10:00,05:10:00,0,,"['Pringy', 'Annemasse']"
Annecy,Annemasse ,LEX,49542,07-03-2023,06:10:00,06:10:00,0,,"['Pringy', 'Annemasse']"
Annecy,Annemasse ,LEX,49544,07-03-2023,07:10:00,07:10:00,0,,"['Pringy', 'Annemasse']"
Annecy,Lyon-Part-Dieu - Gare Routière ,TER,39518,07-03-2023,09:00:00,09:00:00,0,,['Lyon-Part-Dieu - Gare Routière']
Annecy,Annemasse ,LEX,461219,07-03-2023,09:08:00,09:08:00,0,,"['Pringy', 'Groisy - Thorens - La Caille', 'La Roche-sur-Foron', 'Reignier', 'Annemasse']"
Annecy,Annemasse ,LEX,461221,07-03-2023,09:27:00,09:27:00,0,,"['La Roche-sur-Foron', 'Annemasse']"
Annecy,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6964,07-03-2023,09:29:00,09:29:00,0,,"['Aix-les-Bains - Le Revard', 'Chambéry - Challes-les-Eaux', 'Mâcon Loché TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Avignon Centre,Marseille - Saint-Charles ,TER,879603,07-03-2023,05:52:00,05:27:00,25,Difficultés lors de la préparation du train,"['Montfavet', 'Morières-lès-Avignon', 'Saint-Saturnin-lès-Avignon', 'Gadagne', 'Le Thor', 'L\'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse"", \'links\': [], \'coord\': {\'lat\': \'43.917398\', \'lon\': \'5.047606\'}, \'label\': ""L\'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse (L\'Isle-sur-la-Sorgue)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87765479:Train\'', 'Cavaillon', 'Orgon', 'Sénas', 'Lamanon', 'Salon', 'Miramas', 'Saint-Chamas', 'Rognac', 'Vitrolles - Aéroport Marseille Provence', 'Pas des Lanciers', 'L\'Estaque"", \'links\': [], \'coord\': {\'lat\': \'43.363646\', \'lon\': \'5.321342\'}, \'label\': ""L\'Estaque (Marseille)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87751602:Train\'', 'Marseille - Saint-Charles']"
Avignon Centre,Marseille - Saint-Charles ,TER,879515,07-03-2023,06:48:00,06:48:00,0,,"['Arles', 'Saint-Martin-de-Crau', 'Miramas', 'Vitrolles - Aéroport Marseille Provence', 'Marseille - Saint-Charles']"
Marseille - Saint-Charles,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6136,07-03-2023,06:41:00,06:41:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Marseille - Saint-Charles,Bruxelles-Midi - Brussel-Zuid ,TGV INOUI,9854,07-03-2023,07:15:30,07:15:30,0,,"['Lyon Part Dieu', 'Marne-la-Vallée - Chessy', 'Aéroport Charles de Gaulle 2 TGV', 'Lille Europe', 'Bruxelles-Midi - Brussel-Zuid']"
Marseille - Saint-Charles,Le Havre ,TGV INOUI,5376,07-03-2023,08:24:00,08:24:00,0,,"['Valence TGV Rhône-Alpes Sud', 'Lyon Part Dieu', 'Massy - Palaiseau', 'Versailles Chantiers', 'Mantes-la-Jolie', 'Rouen Rive Droite', 'Le Havre']"
Paris - Gare de Lyon - Hall 1 & 2,Marseille - Saint-Charles ,OUIGO,7829,07-03-2023,08:46:00,08:46:00,0,,"['Aix-en-Provence TGV', 'Marseille - Saint-Charles']"
Lyon Part Dieu,Nice ,TGV INOUI,6805,07-03-2023,09:28:00,09:28:00,0,,"['Aix-en-Provence TGV', 'Marseille - Saint-Charles', 'Toulon', 'Saint-Raphaël - Valescure', 'Cannes', 'Antibes', 'Nice']"
Marseille - Saint-Charles,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6112,07-03-2023,09:41:00,09:41:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Paris - Gare de Lyon - Hall 1 & 2,Marseille - Saint-Charles ,TGV INOUI,6103,07-03-2023,10:20:00,10:20:00,0,,"['Aix-en-Provence TGV', 'Marseille - Saint-Charles']"
