Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Paris Nord,Lille Flandres ,TGV INOUI,7077,07-03-2023,19:46:00,19:46:00,0,,['Lille Flandres']
Paris Nord,Beauvais - Gare SNCF ,TER HDF,847449,07-03-2023,20:01:00,20:01:00,0,,"['Persan - Beaumont', 'Chambly', 'Bornel - Belle-Église', 'Esches', 'Méru', 'Laboissière - Le Déluge', 'Saint-Sulpice - Auteuil', 'Beauvais - Gare SNCF']"
Paris Nord,Bruxelles-Midi - Brussel-Zuid ,Thalys,9389,07-03-2023,20:55:00,20:55:00,0,,['Bruxelles-Midi - Brussel-Zuid']
Paris Nord,St Pancras International ,Eurostar,9063,07-03-2023,21:13:00,21:13:00,0,,['St Pancras International']
Paris Nord,Tourcoing ,TGV INOUI,7297,07-03-2023,22:25:00,22:25:00,0,,"['Arras', 'Lille Flandres', 'Croix - Wasquehal', 'Roubaix', 'Tourcoing']"
Paris Nord,Amsterdam Centraal ,Thalys,9303,08-03-2023,06:13:00,06:13:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Antwerpen-Centraal', 'Rotterdam Centraal', 'Schiphol - Airport', 'Amsterdam Centraal']"
Paris Nord,Beauvais - Gare SNCF ,TER HDF,847405,08-03-2023,06:37:00,06:37:00,0,,"['Persan - Beaumont', 'Chambly', 'Bornel - Belle-Église', 'Esches', 'Méru', 'Laboissière - Le Déluge', 'Saint-Sulpice - Auteuil', 'Beauvais - Gare SNCF']"
Paris Nord,Saint-Quentin ,TER HDF,847903,08-03-2023,06:37:00,06:37:00,0,,"['Creil', 'Pont-Sainte-Maxence', 'Compiègne', 'Noyon', 'Chauny', 'Tergnier', 'Saint-Quentin']"
Paris Nord,Boulogne-Ville ,TGV INOUI,7551,08-03-2023,06:52:00,06:52:00,0,,"['Arras', 'Lille Europe', 'Calais - Fréthun', 'Boulogne-Ville']"
Paris Saint-Lazare,Le Havre ,TER,3105,08-03-2023,08:40:00,08:40:00,0,,"['Rouen Rive Droite', 'Yvetot', 'Bréauté - Beuzeville', 'Le Havre']"
Paris Saint-Lazare,Caen ,TER,3355,08-03-2023,09:59:00,09:59:00,0,,"['Évreux Embranchement', 'Bernay', 'Lisieux', 'Caen']"
Paris Saint-Lazare,Rouen Rive Droite ,TER,13111,08-03-2023,10:11:00,10:11:00,0,,"['Mantes-la-Jolie', 'Vernon - Giverny', 'Gaillon - Aubevoye', 'Val-de-Reuil', 'Oissel', 'Rouen Rive Droite']"
Paris - Gare de Lyon - Hall 1 & 2,Marseille - Saint-Charles ,OUIGO,7829,08-03-2023,05:45:00,05:45:00,0,,"['Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6601,08-03-2023,05:59:00,05:59:00,0,,"['Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Lyon Part Dieu', 'Lyon Perrache']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6641,08-03-2023,06:24:00,06:24:00,0,,"['Lyon Part Dieu', 'Lyon Perrache']"
Paris - Gare de Lyon - Hall 1 & 2,Annecy ,TGV INOUI,6931,08-03-2023,06:39:00,06:39:00,0,,"['Mâcon Loché TGV', 'Chambéry - Challes-les-Eaux', 'Aix-les-Bains - Le Revard', 'Annecy']"
Paris - Gare de Lyon - Hall 1 & 2,Besançon-Viotte ,TGV INOUI,6741,08-03-2023,06:45:00,06:45:00,0,,"['Montbard', 'Dijon Ville', 'Besançon - Franche-Comté TGV', 'Besançon-Viotte']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6603,08-03-2023,06:54:00,06:54:00,0,,"['Lyon Part Dieu', 'Lyon Perrache']"
Paris - Gare de Lyon - Hall 1 & 2,Grenoble ,TGV INOUI,6905,08-03-2023,07:09:00,07:09:00,0,,"['Lyon Saint-Exupéry TGV', 'Grenoble']"
Paris - Gare de Lyon - Hall 1 & 2,Zürich - Hauptbahnhof ,TGV Lyria,9203,08-03-2023,07:15:00,07:15:00,0,,"['Belfort - Montbéliard TGV', 'Mulhouse-Ville', 'Bâle - SBB', 'Zürich - Hauptbahnhof']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862441,07-03-2023,19:39:00,19:39:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862443,07-03-2023,20:09:00,20:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,16781,07-03-2023,21:06:00,21:06:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Épernon', 'Maintenon', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862403,08-03-2023,06:09:00,06:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Nantes ,TGV INOUI,8863,08-03-2023,06:26:00,06:26:00,0,,"['Massy TGV', 'Le Mans', 'Angers-Saint-Laud', 'Nantes']"
Paris - Montparnasse - Hall 1 & 2,Hendaye ,TGV INOUI,8531,08-03-2023,07:08:00,07:08:00,0,,"['Bordeaux Saint-Jean', 'Dax', 'Bayonne', 'Biarritz', 'Saint-Jean-de-Luz - Ciboure', 'Hendaye']"
Paris - Montparnasse - Hall 1 & 2,Nogent-le-Rotrou ,TER,862583,08-03-2023,07:09:00,07:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres', 'Amilly Ouerray', 'Saint-Aubin - Saint-Luperce', 'Courville-sur-Eure', 'Pontgouin', 'La Loupe', 'Bretoncelles', 'Condé-sur-Huisne', 'Nogent-le-Rotrou']"
Paris - Montparnasse - Hall 1 & 2,Nantes ,OUIGO,7621,08-03-2023,07:41:00,07:41:00,0,,"['Le Mans', 'Angers-Saint-Laud', 'Nantes']"
