Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Paris Nord,St Pancras International ,Eurostar,9031,09-03-2023,13:13:00,13:13:00,0,,['St Pancras International']
Paris Nord,Lille Flandres ,TGV INOUI,7037,09-03-2023,13:16:00,13:16:00,0,,['Lille Flandres']
Paris Nord,Amsterdam Centraal ,Thalys,9351,09-03-2023,14:22:00,14:22:00,0,,"['Bruxelles-Midi - Brussel-Zuid', 'Antwerpen-Centraal', 'Rotterdam Centraal', 'Schiphol - Airport', 'Amsterdam Centraal']"
Paris Nord,Laon ,TER HDF,849923,09-03-2023,14:31:00,14:31:00,0,,"['Dammartin - Juilly - Saint-Mard', 'Le Plessis-Belleville', 'Nanteuil-le-Haudouin', 'Crépy-en-Valois', 'Villers-Cotterêts', 'Soissons', 'Anizy - Pinon', 'Laon']"
Paris Nord,Saint-Quentin ,TER HDF,847917,09-03-2023,14:34:00,14:34:00,0,,"['Creil', 'Pont-Sainte-Maxence', 'Compiègne', 'Noyon', 'Chauny', 'Tergnier', 'Saint-Quentin']"
Paris Nord,Lille Flandres ,TGV INOUI,7043,09-03-2023,14:46:00,14:46:00,0,,['Lille Flandres']
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6617,09-03-2023,13:46:00,13:46:00,0,,"['Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Lyon Part Dieu', 'Lyon Perrache']"
Paris - Gare de Lyon - Hall 1 & 2,Nice ,TGV INOUI,6077,09-03-2023,13:54:00,13:54:00,0,,"['Marseille - Saint-Charles', 'Toulon', 'Saint-Raphaël - Valescure', 'Cannes', 'Antibes', 'Nice']"
Paris - Gare de Lyon - Hall 1 & 2,Bâle - SBB ,TGV Lyria,9215,09-03-2023,14:15:00,14:15:00,0,,"['Belfort - Montbéliard TGV', 'Mulhouse-Ville', 'Bâle - SBB']"
Paris - Gare de Lyon - Hall 1 & 2,Besançon-Viotte ,TGV INOUI,6743,09-03-2023,14:49:00,14:49:00,0,,"['Montbard', 'Dijon Ville', 'Dole-Ville', 'Besançon-Viotte']"
Paris - Gare de Lyon - Hall 1 & 2,Barcelona Sants ,TGV INOUI,9715,09-03-2023,14:54:00,14:54:00,0,,"['Valence TGV Rhône-Alpes Sud', 'Nîmes Pont-du-Gard', 'Montpellier Sud de France', 'Sète', 'Agde', 'Béziers', 'Narbonne', 'Perpignan', 'Figueres - Vilafant', 'Girona/Gerona', 'Barcelona Sants']"
Paris - Montparnasse - Hall 1 & 2,Nantes ,TGV INOUI,8875,09-03-2023,13:29:00,13:29:00,0,,"['Le Mans', 'Sablé-sur-Sarthe', 'Angers-Saint-Laud', 'Nantes']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,OUIGO,7653,09-03-2023,13:41:00,13:41:00,0,,"['Poitiers', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,12265,09-03-2023,14:02:00,14:02:00,0,,"['Massy TGV', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Tarbes ,TGV INOUI,8574,09-03-2023,14:02:00,14:02:00,0,,"['Massy TGV', 'Bordeaux Saint-Jean', 'Dax', 'Orthez', 'Pau', 'Lourdes', 'Tarbes']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,8485,09-03-2023,14:15:00,14:15:00,0,,"['Saint-Pierre-des-Corps', 'Poitiers', 'Angoulême', 'Libourne', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Quimper ,OUIGO,8723,09-03-2023,14:41:00,14:41:00,0,,"['Laval', 'Rennes', 'Redon', 'Vannes', 'Lorient', 'Quimperlé', 'Rosporden', 'Quimper']"
Paris - Montparnasse - Hall 1 & 2,Le Mans ,TER,16769,09-03-2023,15:06:00,15:06:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Épernon', 'Maintenon', 'Chartres', 'Courville-sur-Eure', 'La Loupe', 'Nogent-le-Rotrou', 'La Ferté-Bernard', 'Connerré - Beillé', 'Le Mans']"
Paris - Montparnasse - Hall 1 & 2,Toulouse Matabiau ,TGV INOUI,8509,09-03-2023,15:08:00,15:08:00,0,,"['Bordeaux Saint-Jean', 'Toulouse Matabiau']"
Paris - Montparnasse - Hall 1 & 2,Bordeaux Saint-Jean ,TGV INOUI,8447,09-03-2023,16:03:00,16:03:00,0,,"['Poitiers', 'Angoulême', 'Bordeaux Saint-Jean']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862425,09-03-2023,16:09:00,16:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Tours ,TGV INOUI,8313,09-03-2023,16:28:00,16:28:00,0,,"['Vendôme - Villiers-sur-Loir', 'Saint-Pierre-des-Corps', 'Tours']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862429,09-03-2023,17:09:00,17:09:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Rennes ,TGV INOUI,8067,09-03-2023,17:12:00,17:12:00,0,,"['Le Mans', 'Laval', 'Rennes']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862431,09-03-2023,17:39:00,17:39:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Saint-Nazaire ,TGV INOUI,8905,09-03-2023,17:48:00,17:48:00,0,,"['Angers-Saint-Laud', 'Nantes', 'Saint-Nazaire']"
Paris - Montparnasse - Hall 1 & 2,Le Mans ,TER,16775,09-03-2023,18:05:00,18:05:00,0,,"['Versailles Chantiers', 'Épernon', 'Maintenon', 'Chartres', 'Courville-sur-Eure', 'La Loupe', 'Nogent-le-Rotrou', 'La Ferté-Bernard', 'Connerré - Beillé', 'Le Mans']"
Paris - Montparnasse - Hall 1 & 2,Saint-Malo ,TGV INOUI,8093,09-03-2023,18:11:00,18:11:00,0,,"['Laval', 'Vitré', 'Rennes', 'Dol-de-Bretagne', 'Saint-Malo']"
Paris - Montparnasse - Hall 1 & 2,Argentan ,TER,3479,09-03-2023,18:13:00,18:13:00,0,,"['Versailles Chantiers', 'Dreux', 'Nonancourt', 'Verneuil-sur-Avre', 'L\'Aigle"", \'links\': [], \'coord\': {\'lat\': \'48.766229\', \'lon\': \'0.620014\'}, \'label\': ""L\'Aigle (L\'Aigle)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87444638:Train\'', 'Surdon', 'Argentan']"
Paris - Montparnasse - Hall 1 & 2,Poitiers ,TGV INOUI,8345,09-03-2023,18:28:00,18:28:00,0,,"['Vendôme - Villiers-sur-Loir', 'Saint-Pierre-des-Corps', 'Châtellerault', 'Poitiers']"
Paris - Montparnasse - Hall 1 & 2,Tours ,TGV INOUI,8319,09-03-2023,18:28:00,18:28:00,0,,"['Vendôme - Villiers-sur-Loir', 'Saint-Pierre-des-Corps', 'Tours']"
Paris - Montparnasse - Hall 1 & 2,Le Mans ,TGV INOUI,8897,09-03-2023,18:36:00,18:36:00,0,,['Le Mans']
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862437,09-03-2023,18:39:00,18:39:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
Paris - Montparnasse - Hall 1 & 2,Chartres ,TER,862441,09-03-2023,19:39:00,19:39:00,0,,"['Versailles Chantiers', 'Rambouillet', 'Gazeran', 'Épernon', 'Maintenon', 'Saint-Piat', 'Jouy', 'La Villette Saint-Prest', 'Chartres']"
